3D7_3,3D7_6,3D7_9,FUP_3,FUP_6,FUP_9
PF3D7_0514200,PF3D7_0705200,PF3D7_0906890,PF3D7_0405500,PF3D7_1465100,PF3D7_1429100
PF3D7_0829000,PF3D7_1353800,PF3D7_0515900,PF3D7_1229400,PF3D7_0531200,PF3D7_1016900
PF3D7_1328400,PF3D7_1348500,PF3D7_1447900,PF3D7_0525800,PF3D7_0807100,PF3D7_1348300
PF3D7_1003400,PF3D7_1362300,PF3D7_1352400,PF3D7_1419700,PF3D7_1109400,PF3D7_1348500
PF3D7_0222000,PF3D7_0411100,PF3D7_1119700,PF3D7_0104400,PF3D7_0502600,PF3D7_0920400
PF3D7_0524300,PF3D7_1454200,PF3D7_1016900,PF3D7_0617200,PF3D7_1304300,PF3D7_0927300
PF3D7_0728400.1,PF3D7_1373400,PF3D7_1476200,PF3D7_1126700,PF3D7_0612500,PF3D7_1226900
PF3D7_0827400,PF3D7_0816300,PF3D7_1419300,PF3D7_0928600,PF3D7_1351200,PF3D7_0302700
PF3D7_1410700,PF3D7_1352500,PF3D7_1353800,PF3D7_1232800,PF3D7_1006200,PF3D7_1465100
PF3D7_1368200,PF3D7_1249400,PF3D7_1348500,PF3D7_1347400,PF3D7_0925300,PF3D7_0531200
PF3D7_0822600,PF3D7_0319900,PF3D7_1362300,PF3D7_0302300,PF3D7_1429700,PF3D7_0807100
PF3D7_1236600,PF3D7_1232000,PF3D7_0411100,PF3D7_1003600,PF3D7_0419400,PF3D7_1109400
PF3D7_1353300,PF3D7_0718700,PF3D7_1454200,PF3D7_0301200,PF3D7_1412900.2,PF3D7_0502600
PF3D7_0920700,PF3D7_1023400,PF3D7_1141200,PF3D7_0308300,PF3D7_1328000,PF3D7_0612000
PF3D7_0530900,PF3D7_1239000,PF3D7_0302700,PF3D7_0907400,PF3D7_1037000,PF3D7_0422800
PF3D7_1002500,PF3D7_1314400,PF3D7_0816300,PF3D7_1401400,PF3D7_1253300,PF3D7_0612500
PF3D7_1471900,PF3D7_1315100,PF3D7_0921000.1,PF3D7_1210900,PF3D7_1338300,PF3D7_1351200
PF3D7_1333200,PF3D7_1236800,PF3D7_1352500,PF3D7_0831750,PF3D7_0416000,PF3D7_1006200
PF3D7_1359300,PF3D7_1354400,PF3D7_1249400,PF3D7_1016800,PF3D7_1353700,PF3D7_1429700
PF3D7_1336800,PF3D7_1314600,PF3D7_0319900,PF3D7_1144100,PF3D7_0603300,PF3D7_1036300
PF3D7_1306600,PF3D7_1012300,PF3D7_1232000,PF3D7_0101200,PF3D7_0929200,PF3D7_1234300
PF3D7_1015000,PF3D7_1234300,PF3D7_0718700,PF3D7_1372300,PF3D7_1451500,PF3D7_1329900
PF3D7_0704200,PF3D7_1453000,PF3D7_1023400,PF3D7_1347000,PF3D7_1402000,PF3D7_1328000
PF3D7_1242200,PF3D7_1024900,PF3D7_1239000,PF3D7_0606100,PF3D7_0819600,PF3D7_1037000
PF3D7_0813300,PF3D7_1365600,PF3D7_1314400,PF3D7_0521000,PF3D7_0419300,PF3D7_0107800
PF3D7_1107000,PF3D7_0630700,PF3D7_1315100,PF3D7_0317200,PF3D7_1221800,PF3D7_1338300
PF3D7_1034000,PF3D7_1304700,PF3D7_1236800,PF3D7_1407200,PF3D7_1303200.1,PF3D7_1401200
PF3D7_0511300,PF3D7_0419200,PF3D7_1314600,PF3D7_1317000,PF3D7_1121100,PF3D7_0416000
PF3D7_0915000,PF3D7_0302600,PF3D7_1234300,PF3D7_1328900,PF3D7_0701500,PF3D7_1353700
PF3D7_1345500,PF3D7_0826200,PF3D7_1453000,PF3D7_1123900,PF3D7_1028200,PF3D7_0307500
PF3D7_0619600,PF3D7_0307500,PF3D7_1024900,PF3D7_0305400,PF3D7_0511200,PF3D7_0603300
PF3D7_0614200,PF3D7_1011600,PF3D7_0630700,PF3D7_1427600,PF3D7_1339300,PF3D7_1338700
PF3D7_1216600,PF3D7_0908800,PF3D7_1304700,PF3D7_0110800,PF3D7_1438700,PF3D7_0603700
PF3D7_1431200,PF3D7_1458200,PF3D7_0419200,PF3D7_1452900,PF3D7_0610800,PF3D7_0929200
PF3D7_1354800,PF3D7_1418200,PF3D7_0302600,PF3D7_1345600,PF3D7_0811900,PF3D7_1402000
PF3D7_1311200,PF3D7_1011900,PF3D7_0826200,PF3D7_0912000,PF3D7_1455200.1,PF3D7_1027600
PF3D7_0510200,PF3D7_1366700,PF3D7_1011600,PF3D7_1336800,PF3D7_1450100,PF3D7_0819600
PF3D7_1337400,PF3D7_1027600,PF3D7_0908800,PF3D7_1328100,PF3D7_1307900,PF3D7_0419300
PF3D7_0918600,PF3D7_1203700,PF3D7_1458200,PF3D7_1321500.1,PF3D7_1404100,PF3D7_1304100
PF3D7_1107400,PF3D7_1304100,PF3D7_1418200,PF3D7_0207200,PF3D7_0935000,PF3D7_1336100
PF3D7_1478100,PF3D7_0729300,PF3D7_1366700,PF3D7_1143500,PF3D7_0625500,PF3D7_1221800
PF3D7_0521300,PF3D7_0924400,PF3D7_1027600,PF3D7_1242200,PF3D7_0924600,PF3D7_0314900
PF3D7_0310500,PF3D7_0828100,PF3D7_1203700,PF3D7_0404500,PF3D7_0405500,PF3D7_1431900
PF3D7_1344800,PF3D7_1336000,PF3D7_1304100,PF3D7_1107000,PF3D7_1229400,PF3D7_1303200.1
PF3D7_1112400,PF3D7_1017900,PF3D7_0825600,PF3D7_0400200,PF3D7_0525800,PF3D7_1121100
PF3D7_1230000,PF3D7_1402800,PF3D7_0729300,PF3D7_0830300,PF3D7_1419700,PF3D7_0416100
PF3D7_0321600,PF3D7_1129500,PF3D7_0924400,PF3D7_1359600,PF3D7_0618800,PF3D7_0902300
PF3D7_0508300,PF3D7_0422100,PF3D7_0828100,PF3D7_0424100,PF3D7_0104400,PF3D7_1028200
PF3D7_0919700,PF3D7_1230600,PF3D7_1336000,PF3D7_1367000,PF3D7_1356400,PF3D7_0511200
PF3D7_0924100,PF3D7_1133600,PF3D7_1017900,PF3D7_0721100,PF3D7_0613400,PF3D7_1106200
PF3D7_0628400,PF3D7_0623200,PF3D7_1402800,PF3D7_0927000,PF3D7_1126700,PF3D7_1339300
PF3D7_0106900,PF3D7_1236100,PF3D7_1129500,PF3D7_1358400,PF3D7_1232800,PF3D7_0221700
PF3D7_1342300,PF3D7_0708900,PF3D7_0422100,PF3D7_1368900,PF3D7_1347400,PF3D7_1438700
PF3D7_0112000,PF3D7_0713400,PF3D7_1307900,PF3D7_1138400,PF3D7_0302300,PF3D7_0610800
PF3D7_0306500,PF3D7_0831900,PF3D7_1230600,PF3D7_1425300,PF3D7_1003600,PF3D7_1475200
PF3D7_1110100,PF3D7_1026900,PF3D7_1133600,PF3D7_0105700,PF3D7_0301200,PF3D7_0109400
PF3D7_0105600,PF3D7_0618900.1,PF3D7_0623200,PF3D7_1205700,PF3D7_0308300,PF3D7_1450100
PF3D7_0205400,PF3D7_1339800,PF3D7_1236100,PF3D7_0410800,PF3D7_1138300,PF3D7_0935000
PF3D7_1442700,PF3D7_1021500,PF3D7_0708900,PF3D7_1006700,PF3D7_0907400,PF3D7_1131400
PF3D7_1231500,PF3D7_0306300,PF3D7_0713400,PF3D7_0508600,PF3D7_1210900,PF3D7_0924600
PF3D7_0823000,PF3D7_1405200,PF3D7_0831900,PF3D7_1447300,PF3D7_0831750,PF3D7_0405500
PF3D7_1147500,PF3D7_0514200,PF3D7_1026900,PF3D7_0932700,PF3D7_1016800,PF3D7_1229400
PF3D7_1427300,PF3D7_0829000,PF3D7_0618900.1,PF3D7_1444100,PF3D7_1144100,PF3D7_0526400
PF3D7_1432600,PF3D7_1328400,PF3D7_0831000,PF3D7_1118200,PF3D7_0203300,PF3D7_0618800
PF3D7_1031900,PF3D7_0222000,PF3D7_1339800,PF3D7_0318100,PF3D7_0815900,PF3D7_0217900
PF3D7_1232400,PF3D7_0524300,PF3D7_1021500,PF3D7_0830900,PF3D7_0101200,PF3D7_1356400
PF3D7_0622500,PF3D7_0728400.1,PF3D7_1405200,PF3D7_1344200,PF3D7_0215800,PF3D7_0613400
PF3D7_0832200.1,PF3D7_1456200,PF3D7_0514200,PF3D7_1244800,PF3D7_1372300,PF3D7_1347400
PF3D7_1212500,PF3D7_1410700,PF3D7_0829000,PF3D7_1422000,PF3D7_1410700,PF3D7_1416800
PF3D7_1230700,PF3D7_1368200,PF3D7_1328400,PF3D7_0709400,PF3D7_0606100,PF3D7_0907400
PF3D7_1419400,PF3D7_1009800,PF3D7_0222000,PF3D7_0918000,PF3D7_0317200,PF3D7_0811600
PF3D7_1216100,PF3D7_0822600,PF3D7_0524300,PF3D7_0422000,PF3D7_1407200,PF3D7_0831750
PF3D7_0905000,PF3D7_1236600,PF3D7_0728400.1,PF3D7_1323500,PF3D7_1317000,PF3D7_1144100
PF3D7_0420300,PF3D7_0606900,PF3D7_0200700,PF3D7_0919100,PF3D7_1149600,PF3D7_0203300
