"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_0422800",1,2,90,27,24,8,3,42,7,1,8,2,2,7,0,401,15,11,2,13,25,130,2,19,1,5,7,7,50,11,2,2
"PF3D7_0422900",1,3,114,60,18,11,2,12,1,0,10,12,0,4,3,71,7,4,2,14,12,5,3,11,1,0,1,7,17,10,3,10
"PF3D7_0423000",18,70,74,38,45,26,25,9,12,12,6,37,4,17,0,97,13,31,39,135,175,6,26,3,6,5,9,20,9,2,4,11
"PF3D7_0423100",148,328,1045,436,648,632,274,129,154,110,144,355,29,313,11,977,284,302,267,572,1109,35,198,14,49,49,61,88,134,151,99,154
"PF3D7_0423200",34,26,379,94,16,98,42,42,18,12,6,64,6,22,7,259,26,23,52,92,103,9,14,14,10,26,3,25,64,15,51,63
"PF3D7_0423300",1,0,5,1,3,0,0,0,4,0,0,0,0,1,0,3,1,2,0,3,1,0,3,0,2,0,0,1,0,1,1,0
"PF3D7_0423400",0,1,19,0,2,0,0,1,0,0,0,0,0,1,0,5,0,1,1,2,1,4,0,1,0,0,1,0,2,0,0,0
"PF3D7_0423500",3,1,1217,7,16,146,4,88,11,1,22,21,3,17,6,357,11,4,61,31,9,15,28,125,4,5,1,3,69,35,0,1
"PF3D7_0423600",1360,824,17071,4322,2652,3061,1327,606,1142,452,1200,1410,155,1489,321,22038,2003,644,1235,4553,7713,1802,1739,384,608,852,236,394,784,1619,435,768
"PF3D7_0423700",0,0,147,58,21,16,2,8,5,0,5,22,0,5,8,2735,49,7,6,7,2,6,1,8,0,0,1,11,14,2,11,17
"PF3D7_0423800",4,1,23,23,37,10,9,9,16,3,14,3,16,39,0,552,23,27,3,22,28,36,8,7,3,0,7,6,7,24,0,4
"PF3D7_0423900",12,83,9,54,100,268,81,47,44,21,30,94,25,105,0,31,111,44,83,124,427,0,33,1,35,2,28,0,10,31,0,0
