"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_0801500",1611,2212.151,7169.489,2249,3834.996,9365.648,3044,1703,2307,1461,5918.119,4218.192,724,2631,184,6142.328,5235,2375,2212.967,5081.967,11215.238,627,1760,357,1301,362,1395.545,448,1011,1776,665,1612
"PF3D7_0801600",1,1,8,0,2,0,0,0,1,0,3,1,0,0,0,8,0,1,0,1,0,1,0,0,0,0,0,4,0,0,2,10
"PF3D7_0801700",157.157,234.711,4487.977,763.681,850.792,1501.253,259.287,143,129.053,84.937,648.717,529.001,3,169.179,93,4338.806,68.554,224.011,233.095,802.996,459.339,296.361,342.052,51,44.412,216.829,51,115,115.297,131.298,238.013,1024.146
"PF3D7_0801800",4709.088,5118.995,18999.855,8824.689,20324.027,29620.008,7798.777,2646.001,4546.997,4706.789,19940.971,12729.399,841,9183.059,592,27632.06,14178.408,5938,4891,19659.162,25481.874,2922.01,6871.25,637,1975,2104,2827.001,2029,2264,9526.068,3190,5880
"PF3D7_0801900",1297.045,195.908,14611.648,923.923,13037.065,10259.655,809.2,351.303,1519.949,1751.632,10697.788,1654.482,171,2983.243,220.84,30862.194,23680.077,2470.446,1304.606,12032.999,3971.156,566.412,1324.639,90.869,479.071,2603.108,404.911,908.518,960.192,1894.831,1131.387,2097.567
"PF3D7_0802000",985,6,107317.918,14241.029,994,8870.193,1745.172,9807.044,38,29,1886.069,735,82,415.007,2253,154961.897,280,62,1091,636,47,17308.933,517,5970,459,5870,37,6829,13104,1549,4439.294,10385.627
"PF3D7_0802100",20.555,1.147,213.332,31.848,570.122,35.437,17.1,6.568,24.466,8.015,168.979,4.329,1,104.341,6,128.158,72.005,68.092,5,217.16,87.518,1.021,20.595,1,6.017,1,24.045,12.145,9.091,49.663,8.011,14.105
"PF3D7_0802200",6,5,380.254,234,40,18,6,15,10,3,8,43,1,8,7,744.003,3,18,10,33,3,25,5,4,2,36,0,36,36,3,35,83
"PF3D7_0802300",3180.164,2884,15674.365,5224.093,6263,13531.972,4985.05,2236,3215,2094,7554.315,6574,829,3156,443,11876.316,6387,3297.968,2758,7542.009,13589.404,1673,3368,531,2133,834,1611,1136,2013,2680,1071,4522
"PF3D7_0802400",974,1228,8775.222,2335.86,2544.751,7383.072,1432.044,1514.986,1141,533.34,2719.344,3014.239,331,1647.067,214,7187.164,1694.017,1074.001,1141.278,3316.004,6150.252,654.309,892.96,265,773.019,412.912,570.005,469,950.001,1163.424,875.003,2321.175
"PF3D7_0802500",378,643.999,1505.019,581.066,1495,2599.104,792,142,319,411,1005,804,58,690,38,2389,407,836,345.998,2341.282,3448.552,133,621,39,320,218.088,159,154,181,689.067,309,530
"PF3D7_0802600",108,103,743.919,491.106,268.238,635,317.011,36,84,61,169.367,646.984,11,184.724,28.005,596.986,97,62,193.995,276.007,499.007,65.072,145,13,71,28,54,131,68.001,148.953,104,220
"PF3D7_0802700",1,0,5,0,2,5,2,0,0,0,1,0,0,1,1,6,0,0,1,14,3,1,2,0,0,0,1,1,0,1,0,0
"PF3D7_0802800",0,2,4,1,3,0,0,1,1,1,4,1,0,12,0,4,7,0,1,2,1,0,0,0,0,0,0,1,0,6,0,1
"PF3D7_0802900",0,0,14,17,22,11,5,4,3,0,8,1,0,3,0,35,3,4,2,28.993,3,0,1,4,0,0,0,1,9,10,8,1
"PF3D7_0803000",938,1663.002,4238.381,1997.568,4171,5819.165,1695,390.015,1025,1102.966,3158.019,2219.016,256,1781.018,131,6194.208,1907.958,1458.006,977.81,6268.736,7738.818,413,1623,142,949,252,657,321,412,1009.001,610,1381.004
"PF3D7_0803100",2028.115,857.785,7365.507,2188.032,6526.132,11859.873,2959.133,289.871,1703.161,1516.706,11342.809,2449.891,289.619,3893.295,213.008,6815.271,5781.116,1130.09,1340.497,11960.173,16223.315,415.862,2687.56,58.112,1310.057,320.93,562.005,143.995,249.003,4135.868,295.93,857.082
"PF3D7_0803200",1,1,11,2,1.944,2,1,0,3,0,0,0,0,4,0,2,1,0,1,3,1,0,0,0,2,0,0,1,0,2,0,0
"PF3D7_0803300",2,0,48,2,0,6,1,2,0,0,2,2,0,0,0,18,0,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0
"PF3D7_0803400",1,1,473,18,5,9,5,2,0,0,1,5,2,7,17,172,4,1,0,3,2,13,3,0,0,2,3,3,12,2,0,2
"PF3D7_0803500",313,406.002,3206.735,826.071,774.088,2831.914,742,252.982,383.002,140.09,1051.84,1648.505,22,394.12,86.245,2157.399,279.068,373.98,334.887,1252.101,1925.297,277,376.005,78,153,90.001,181.011,98.295,200.16,303.064,188.001,686.001
