ORF,AA01,AA02,AA03,AA04,AA05,AA06,AA07,AA08,AA09,AA10,AA11,AA12,AA13,AA14,AA15,AA16,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11,AS12,AS13,AS14,AS15,AS16
PF3D7_0604500,7194.427,2324.891,29392.042,7479.592,16954.253,34280.682,10368.904,1035.2269999999999,3801.7690000000002,3568.365,34735.88,5682.717,569.002,11166.407,594.5840000000001,31703.298,21442.532000000003,2634.355,5904.573,35585.53,93594.689,1359.945,6292.3640000000005,205.15200000000002,3546.889,1885.0529999999999,1160.153,542.134,897.96,12849.461000000001,798.2310000000001,1878.369
PF3D7_0604600,25.0,3.0,289.0,70.0,155.0,92.0,52.0,17.0,13.0,3.0,209.0,22.0,0.0,62.0,17.0,325.0,28.01,18.0,13.0,247.0,91.02600000000001,83.0,56.0,3.0,10.0,0.0,0.0,0.0,26.0,91.0,3.0,9.0
PF3D7_0604700,6.0,3.0,223.0,321.0,22.0,76.0,8.0,23.0,0.0,3.0,21.0,18.0,0.0,4.0,2.0,131.0,5.0,10.0,8.0,5.0,5.0,44.0,1.0,27.0,0.0,11.0,0.0,1.0,13.0,9.0,11.0,16.0
PF3D7_0604800,2.0,0.0,296.0,56.0,79.0,6.0,2.0,6.0,14.0,0.0,27.0,1.0,3.0,12.0,8.0,112.0,6.0,7.0,2.0,39.025999999999996,11.0,14.0,2.0,4.0,0.0,4.0,3.0,17.0,76.0,28.0,7.0,16.0
PF3D7_0604900,17.0,5.0,156.0,60.0,72.0,54.0,9.0,20.0,29.0,4.0,75.0,6.0,11.0,16.0,0.0,168.0,13.0,19.0,10.0,41.0,69.0,27.0,15.0,7.0,7.0,8.0,15.0,11.0,60.0,28.0,30.0,3.0
PF3D7_0605000,2.0,1.0,865.845,154.0,1.0,53.0,2.0,60.0,0.0,0.0,2.0,8.0,0.0,2.0,8.0,812.0,0.0,0.0,3.0,3.0,2.0,121.0,0.0,57.0,1.0,19.0,1.0,30.0,146.0,3.0,3.0,5.0
PF3D7_0605100,917.0,1208.0,8159.523,3953.0,11837.677,3121.907,1196.086,1004.0,2667.0,1700.0,7484.210999999999,972.0,867.0,3284.0,189.0,10480.841,4892.633,3026.0,1034.0,2835.0,6756.3369999999995,352.0,781.0,375.0,741.0,853.0,2148.0,1555.0,2154.0,3997.0,1320.0,2890.008
PF3D7_0605200,0.0,0.0,0.0,2.782,8.0,1.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0
PF3D7_0605300,16.0,1.0,154.001,3.0,601.0,25.0,21.0,2.0,38.0,5.0,494.0,1.0,10.0,152.0,7.0,101.0,44.0,58.0,11.0,70.0,77.0,4.0,24.0,0.0,12.0,5.0,37.0,9.0,16.0,122.0,7.0,1.0
PF3D7_0605400,1.0,0.0,8.0,2.0,13.0,5.0,1.0,4.0,4.0,0.0,8.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.837,0.0,0.0,2.0,0.0,2.0
PF3D7_0605500,11.0,3.0,1.0,0.0,149.0,9.0,4.0,0.0,6.0,2.0,82.0,0.0,1.0,30.0,0.0,3.0,6.0,10.0,1.0,57.0,18.003,0.0,5.0,0.0,0.0,0.0,11.163,0.0,0.0,14.0,4.0,3.0
PF3D7_0605600,59.0,6.0,11.0,4.218,974.0,46.0,12.0,7.0,38.0,17.0,521.0,5.0,6.0,254.0,0.0,16.0,112.0,34.0,11.0,430.0,101.0,1.0,37.0,1.0,1.0,2.0,60.0,0.0,4.0,109.0,2.0,1.0
PF3D7_0605700,0.0,0.0,6.0,0.0,2.001,0.0,1.0,0.0,0.0,0.0,2.475,0.0,0.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PF3D7_0605800,2488.42,435.189,651.936,840.1010000000001,9188.024,4296.093,1142.235,275.084,2130.009,597.097,12844.181999999999,493.976,346.00300000000004,3211.075,66.025,1607.094,3258.3179999999998,1532.8339999999998,543.004,12675.82,11203.553999999998,202.107,1548.261,8.033999999999999,574.494,87.00200000000001,967.0010000000001,44.00899999999999,206.007,3640.867,46.798,36.743
PF3D7_0605900,3598.0,2637.0,56.0,2660.0,7686.061,20359.793999999998,9127.994,1679.0,3130.853,3481.698,16707.093,5050.0,1801.0,4353.544,339.0,52.0,16498.759,2977.1620000000003,4582.0,5398.0,19792.76,109.0,2766.0,40.0,3554.9970000000003,65.0,2190.6620000000003,11.0,1759.0,8877.37,8.0,6.0
PF3D7_0606000,4339.0,5522.19,20419.365,7318.005999999999,20963.488,25078.842,10225.591999999999,1806.0,5864.0,4927.996,26309.343999999997,10266.471,1194.0,8128.177,525.0,16712.537,20463.915,6115.0,4566.804,27928.417999999998,40046.562000000005,1784.0,6435.331999999999,339.0,3412.0,1041.9360000000001,3647.0,766.066,2128.0,12697.0,1413.793,3006.428
PF3D7_0606100,2301.0,3192.31,16726.023,3984.9179999999997,11101.077,18759.235,4772.0,1806.0,3508.618,2830.0,15923.757,6334.566999999999,925.0,5732.0,444.0,10591.392,9232.501,3588.6259999999997,2692.0,11735.798,23281.267000000003,1063.0,3335.998,360.0,1705.0020000000002,638.636,2249.0,775.0,1664.0,6069.753000000001,1088.0,1443.0
PF3D7_0606200,198.0,157.0,881.034,422.0,580.014,1339.19,599.0,163.0,259.0,101.0,1127.0,968.1239999999999,95.0,261.0,33.0,635.0,907.0,144.0,290.0,422.0,1098.984,77.0,214.0,19.0,154.0,32.0,77.0,44.0,179.0,381.0,118.0,498.0
PF3D7_0606300,0.0,0.0,1.0,1.0,7.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0
PF3D7_0606400,25.0,11.0,34.0,32.0,145.594,56.0,27.0,6.0,22.0,43.0,106.0,20.0,3.0,27.0,3.0,47.0,112.0,40.0,18.0,57.0,118.166,1.0,47.0,0.0,12.0,2.0,30.0,6.0,21.0,62.0,0.0,20.0
PF3D7_0606500,1284.0,1304.0,4704.928,1975.0,3363.6259999999997,10545.296,2629.0,604.0,1362.0,1847.0,5569.335999999999,3739.0,279.0,2372.8,147.0,5925.5109999999995,6031.0,1082.0,1398.0,5549.33,12023.614,279.0,1724.0,118.0,1003.0,425.36199999999997,634.0,264.0,602.999,2276.062,627.007,1365.0
PF3D7_0606600,7237.471,3680.0,13886.223999999998,8500.301,36893.278,29399.671000000002,14734.909,1767.0,9068.444,9407.266,46073.428,14176.106000000002,2125.0,15855.376,719.0,22812.54,28170.148999999998,5699.03,6787.0830000000005,35153.384,61762.554000000004,1172.998,10840.746000000001,196.0,5066.043,1532.905,5763.0019999999995,991.0,1858.0,20310.968999999997,1480.014,4478.973
PF3D7_0606700,3730.0,3818.32,15901.907,6930.193,16586.749,16973.444,6433.9980000000005,2112.002,4911.634,2802.737,18670.203999999998,8750.212,1737.0,5799.031,504.0,22030.111,9485.95,6104.981,3978.0,12356.345,21783.992000000002,1100.0,3125.336,632.0,2131.0,1651.0,2881.0,2194.0,3161.0,10049.015,2248.709,8262.067
PF3D7_0606800,70.0,42.0,1865.07,165.0,532.0,282.0,94.0,127.0,193.0,126.0,514.0,51.0,37.0,141.0,27.0,824.0,723.0,149.0,66.0,227.0,535.0,46.0,30.0,53.0,33.0,47.0,87.0,102.0,282.0,281.0,100.0,56.0
PF3D7_0606900,59.0,136.0,2223.646,429.0,368.0,772.0,193.0,252.0,139.0,145.0,323.121,233.0,28.0,95.0,21.0,1419.0,923.0,160.0,182.0,263.0,663.0,74.0,67.0,78.0,82.0,97.0,65.0,125.0,322.0,176.0,124.0,433.0
