"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_1451900",92.788051,39.294939,46.892639,28.328491,50.683828,63.278233,61.816757,14.332961,55.716185,51.380319,88.606648,37.332308,33.342341,71.87925,46.112343,65.822933,42.081546,24.026508,37.665124,146.870105,87.278913,42.578984,77.682942,16.229445,78.761128,36.099951,45.843146,15.211446,18.868761,94.518619,24.967854,22.375784
"PF3D7_1452000",0.051548,0.037445,0.130068,0,0.054787,0.034602,0.023169,0.048468,0,0.017986,0.10989,0,0,0.30976,0.104764,0.106374,0.036639,0.127864,0,0.033958,0.027968,0.127082,0,0.044164,0,0.033694,0.142678,0.149622,0.088442,0.363757,0.021099,0
"PF3D7_1452100",22.948348,17.47908,3.746266,8.301735,6.384664,13.7882,17.053564,5.306477,18.295355,14.556065,5.445425,16.560106,8.468487,6.614372,5.147316,4.10675,9.734061,4.207525,9.008557,11.621954,6.434519,3.673663,13.520268,3.656721,37.976589,3.629505,13.930237,3.065134,5.304326,7.686451,5.641211,7.023605
"PF3D7_1452200",1.746847,0.360469,0.374555,1.178158,1.47954,0.468749,1.011278,0.935258,1.988622,2.590417,1.816746,0.156358,1.623611,1.106761,0.498085,0.734835,1.571746,0.786643,1.279599,3.031303,1.835575,0.303451,1.109132,0,0.815071,0,3.773231,0.079996,0.513586,2.530632,0.299263,0.354658
"PF3D7_1452300",0.410567,0.098384,0.133356,0.04155,0.388838,0.065637,0,0,0.112387,0.846635,0.444039,0.050916,0,0,0,0.025141,0.121614,0.232869,0.086534,1.025341,0.060087,0,0,0.344024,0,0,0.561261,0.392906,0,0.304604,0,0
"PF3D7_1452400",37.68468,14.203218,52.240287,18.65073,14.039818,47.451967,21.796613,7.176637,18.043163,20.584152,18.798013,25.545852,6.308438,20.628709,40.702244,76.603773,14.775634,7.910224,14.302214,93.021603,42.866664,40.047432,30.550401,11.960015,28.997264,37.373899,19.79419,10.532422,9.377734,11.268698,21.013828,16.827853
"PF3D7_1452500",0.441431,0.626749,1.021258,0.085936,0.587327,1.043933,0,0.327192,1.906483,0.894669,1.329905,0.744654,0,0,0,3.690757,0.084015,1.82615,0.358576,1.80924,0.784348,2.052956,1.649272,0.719198,0.474357,4.388399,0.394816,0.276682,0.313672,0.473581,3.935825,1.486755
"PF3D7_1452600",9.466983,5.182531,5.982866,3.103456,7.873076,7.352398,5.553132,1.430963,10.111258,4.083013,7.103401,11.336895,2.0831,5.139905,7.50629,11.058486,2.043602,5.495424,4.591134,21.327505,6.415782,3.628298,7.580636,1.396098,4.769427,10.933498,4.44665,4.25545,2.748094,3.908172,10.159629,7.529721
"PF3D7_1452700",8.372783,2.954199,30.752601,40.78885,5.365754,11.999398,5.565385,30.117656,7.473576,3.781568,7.994453,9.108804,0.632317,5.236848,67.438932,35.252216,1.953456,5.03427,5.836661,15.050733,4.621804,44.696957,7.509814,44.228553,2.392762,4.50253,3.209609,6.460436,8.747655,6.605311,4.03297,5.026807
"PF3D7_1452800",0.325646,0,2.237693,1.484418,0.784582,0.403367,0.14705,1.096006,0.35436,0,0.626477,0.238718,0,1.231574,3.755974,3.930797,0.063095,0.370296,0.67309,1.768841,0.781455,5.386982,0.40858,3.228501,0,0.410474,0.29437,1.855743,2.469703,1.659728,1.241644,0.223364
